SITE,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_AridityIndex,CHELSA_BIO_FrostChangeFrequency,CHELSA_BIO_GrowingDegreeDaysHeatSum_gt0degrees,CHELSA_BIO_GrowingDegreeDays_gt0degrees,CHELSA_BIO_GrowingDegreeDays_gt10degrees,CHELSA_BIO_GrowingDegreeDays_gt5degrees,CHELSA_BIO_GrowingDegreeDaystSumHeatSum_gt10degrees,CHELSA_BIO_GrowingDegreeDaystSumHeatSum_gt5degrees,CHELSA_BIO_GrowingSeasonLength,CHELSA_BIO_GrowingSeasonPrecipitationSum,CHELSA_BIO_GrowingSeasonTemperatureMean,CHELSA_BIO_Isothermality,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_MaximumMonthlyMoisture_Index,CHELSA_BIO_MaximumMonthlyPotential_Evapotranspiration,CHELSA_BIO_MaximumMonthlyVaporPressureDeficit,CHELSA_BIO_MaximumSurfaceDownwellingShortwave,CHELSA_BIO_MeanMonthlyMoisture_Index,CHELSA_BIO_MeanMonthlyPotential_Evapotranspiration,CHELSA_BIO_MeanMonthlyVaporPressureDeficit,CHELSA_BIO_MeanSurfaceDownwellingShortwave,CHELSA_BIO_Mean_Diurnal_Range,CHELSA_BIO_Mean_Temperature_of_Coldest_Quarter,CHELSA_BIO_Mean_Temperature_of_Driest_Quarter,CHELSA_BIO_Mean_Temperature_of_Warmest_Quarter,CHELSA_BIO_Mean_Temperature_of_Wettest_Quarter,CHELSA_BIO_Min_Temperature_of_Coldest_Month,CHELSA_BIO_MinimumMonthlyMoisture_Index,CHELSA_BIO_MinimumMonthlyPotential_Evapotranspiration,CHELSA_BIO_MinimumMonthlyVaporPressureDeficit,CHELSA_BIO_MinimumSurfaceDownwellingShortwave,CHELSA_BIO_NPP,CHELSA_BIO_Precipitation_Seasonality,CHELSA_BIO_Precipitation_of_Coldest_Quarter,CHELSA_BIO_Precipitation_of_Driest_Month,CHELSA_BIO_Precipitation_of_Driest_Quarter,CHELSA_BIO_Precipitation_of_Warmest_Quarter,CHELSA_BIO_Precipitation_of_Wettest_Month,CHELSA_BIO_Precipitation_of_Wettest_Quarter,CHELSA_BIO_SnowCoverDays,CHELSA_BIO_SnowWaterEquivalent,CHELSA_BIO_Temperature_Annual_Range,CHELSA_BIO_Temperature_Seasonality,EarthEnv_CloudCover_Mean,EarthEnv_CloudCover_SD,EarthEnv_CloudCover_intraAnnualSD,EarthEnv_CloudCover_seasonalCloudConcentration,EarthEnv_CloudCover_seasonalCloudConcentration_peakTime,EarthEnv_Texture_CoOfVar_EVI,EarthEnv_Texture_Contrast_EVI,EarthEnv_Texture_Correlation_EVI,EarthEnv_Texture_Dissimilarity_EVI,EarthEnv_Texture_Entropy_EVI,EarthEnv_Texture_Homogeneity_EVI,EarthEnv_Texture_Maximum_EVI,EarthEnv_Texture_Range_EVI,EarthEnv_Texture_Shannon_Index,EarthEnv_Texture_Simpson_Index,EarthEnv_Texture_Std_EVI,EarthEnv_Texture_Uniformity_EVI,EarthEnv_Texture_Variance_EVI,SBIO_0_5cm_Annual_Mean_Temperature,SBIO_0_5cm_Isothermality,SBIO_0_5cm_Max_Temperature_of_Warmest_Month,SBIO_0_5cm_Mean_Diurnal_Range,SBIO_0_5cm_Mean_Temperature_of_Coldest_Quarter,SBIO_0_5cm_Mean_Temperature_of_Driest_Quarter,SBIO_0_5cm_Mean_Temperature_of_Warmest_Quarter,SBIO_0_5cm_Mean_Temperature_of_Wettest_Quarter,SBIO_0_5cm_Min_Temperature_of_Coldest_Month,SBIO_0_5cm_Temperature_Annual_Range,SBIO_0_5cm_Temperature_Seasonality,SBIO_5_15cm_Annual_Mean_Temperature,SBIO_5_15cm_Isothermality,SBIO_5_15cm_Max_Temperature_of_Warmest_Month,SBIO_5_15cm_Mean_Diurnal_Range,SBIO_5_15cm_Mean_Temperature_of_Coldest_Quarter,SBIO_5_15cm_Mean_Temperature_of_Driest_Quarter,SBIO_5_15cm_Mean_Temperature_of_Warmest_Quarter,SBIO_5_15cm_Mean_Temperature_of_Wettest_Quarter,SBIO_5_15cm_Min_Temperature_of_Coldest_Month,SBIO_5_15cm_Temperature_Annual_Range,SBIO_5_15cm_Temperature_Seasonality,SG_Bulk_density_0_5cm,SG_Bulk_density_100_200cm,SG_Bulk_density_15_30cm,SG_Bulk_density_30_60cm,SG_Bulk_density_5_15cm,SG_Bulk_density_60_100cm,SG_CEC_0_5cm,SG_CEC_100_200cm,SG_CEC_15_30cm,SG_CEC_30_60cm,SG_CEC_5_15cm,SG_CEC_60_100cm,SG_Clay_Content_0_5cm,SG_Clay_Content_100_200cm,SG_Clay_Content_15_30cm,SG_Clay_Content_30_60cm,SG_Clay_Content_5_15cm,SG_Clay_Content_60_100cm,SG_Coarse_fragments_0_5cm,SG_Coarse_fragments_100_200cm,SG_Coarse_fragments_15_30cm,SG_Coarse_fragments_30_60cm,SG_Coarse_fragments_5_15cm,SG_Coarse_fragments_60_100cm,SG_Nitrogen_Content_0_5cm,SG_Nitrogen_Content_100_200cm,SG_Nitrogen_Content_15_30cm,SG_Nitrogen_Content_30_60cm,SG_Nitrogen_Content_5_15cm,SG_Nitrogen_Content_60_100cm,SG_SOC_Content_0_5cm,SG_SOC_Content_100_200cm,SG_SOC_Content_15_30cm,SG_SOC_Content_30_60cm,SG_SOC_Content_5_15cm,SG_SOC_Content_60_100cm,SG_SOC_Density_0_5cm,SG_SOC_Density_100_200cm,SG_SOC_Density_15_30cm,SG_SOC_Density_30_60cm,SG_SOC_Density_5_15cm,SG_SOC_Density_60_100cm,SG_SOC_stocks_15_30cm,SG_Sand_Content_0_5cm,SG_Sand_Content_100_200cm,SG_Sand_Content_15_30cm,SG_Sand_Content_30_60cm,SG_Sand_Content_5_15cm,SG_Sand_Content_60_100cm,SG_Silt_Content_0_5cm,SG_Silt_Content_100_200cm,SG_Silt_Content_15_30cm,SG_Silt_Content_30_60cm,SG_Silt_Content_5_15cm,SG_Silt_Content_60_100cm,SG_Soil_pH_0_5cm,SG_Soil_pH_100_200cm,SG_Soil_pH_15_30cm,SG_Soil_pH_30_60cm,SG_Soil_pH_5_15cm,SG_Soil_pH_60_100cm,WorldClim2_BIO_Annual_Mean_Temperature,WorldClim2_BIO_Annual_Precipitation,WorldClim2_BIO_Isothermality,WorldClim2_BIO_Max_Temperature_of_Warmest_Month,WorldClim2_BIO_Mean_Diurnal_Range,WorldClim2_BIO_Mean_Temperature_of_Coldest_Quarter,WorldClim2_BIO_Mean_Temperature_of_Driest_Quarter,WorldClim2_BIO_Mean_Temperature_of_Warmest_Quarter,WorldClim2_BIO_Mean_Temperature_of_Wettest_Quarter,WorldClim2_BIO_Min_Temperature_of_Coldest_Month,WorldClim2_BIO_Precipitation_Seasonality,WorldClim2_BIO_Precipitation_of_Coldest_Quarter,WorldClim2_BIO_Precipitation_of_Driest_Month,WorldClim2_BIO_Precipitation_of_Driest_Quarter,WorldClim2_BIO_Precipitation_of_Warmest_Quarter,WorldClim2_BIO_Precipitation_of_Wettest_Month,WorldClim2_BIO_Precipitation_of_Wettest_Quarter,WorldClim2_BIO_Temperature_Annual_Range,WorldClim2_BIO_Temperature_Seasonality
BHZ,2833.983398,597.0996704,0.051432613,107.0167313,42795.32031,264.98349,193,228.9834747,19945.24805,30480.41602,11,475.0831604,2897,2.91016531,3059.983398,-236.0497589,19269.61914,19966.08594,25936.2168,-1003.115845,10515.15918,9445.000977,18165.64844,134,2674,2674,2980.016357,2980.016357,2599.000244,-1796.148682,2500.597412,1721.083984,8492.814453,1125.182617,826.0005493,41,13,41,332.0501099,138.0167999,332.0501099,79,25,460.9831848,11907.01367,3688,1131,693,117,1363,1937,24230,4830,12228,23474,5087,1676,511,16348,7734,174,1075,24070,11.5150919,28.77063179,35.01149368,11.81591225,-1.135454535,3.479494572,24.60333443,24.60333443,-6.057857513,41.0693512,1042.07373,14.33732796,16.89513779,30.65472794,6.05793047,2.148741961,8.108412743,26.69747734,26.69747734,-5.201329708,35.85605621,1039.811035,139.6703033,147.7091827,144.4526825,145.6655579,140.2221832,147.4293823,235.5636749,221.8584442,209.3745728,211.9056244,209.6317749,203.4203491,259.5420532,207.4763794,229.5077972,221.9570313,250.6408997,214.4096375,90.88422394,183.236084,98.2579422,115.5458984,93.80296326,137.0933075,1808.668091,957.3256226,779.0737915,644.2262573,875.4373169,862.1617432,100.6874695,42.58840942,65.45748138,44.81978226,85.4661026,39.05302048,167.306015,98.66152191,106.5557938,71.64102936,126.6943588,70.80393219,23.75789261,348.8130188,387.223999,361.8510132,358.9795532,351.4385681,364.6072083,391.7083435,405.3288574,408.4830322,419.1575623,397.7188416,420.9405518,81.36103821,81.64730835,81.43725586,81.83294678,81.5971756,81.9336853,7.849999905,81,31.61040878,30.89999962,14.98333359,-7.550000191,-6.116666794,22.08333206,22.08333206,-16.5,81.81555176,5,1,5,49,19,49,47.40000153,1203.326782
BYD,2869,5016.882813,0.445589334,119,51552,304,221,257,25678,37614,126.9832687,4916.882813,2943,2.779834747,3049,-116.2002182,17129.40234,16324.86621,21962.94922,-586.1834106,9933.500977,8939.950195,15749.91699,109,2723,2723,2999,2999,2656,-1318.266846,2673.833496,2670.966553,8411.899414,8238.833008,1143.016479,100,25,100,3478.949707,1557.983032,3478.949707,63,37,393,10787,4842,1125,655,69,1816,768,261241,-1919,36630,24763,2249,1334,1677,19888,8430,426,937,123687,14.94568825,27.70898056,33.92378235,9.661966324,2.162096739,2.162096739,26.89788628,26.89788628,-0.945657551,34.86944199,993.3312988,13.55326748,15.32783794,29.33920288,4.461136341,1.539983749,1.539983749,24.87456703,24.87456703,0.234405518,29.10479736,935.6914673,132.3482666,139.5308533,136.5546875,137.9408569,132.0976715,138.4168243,186.767395,185.3707886,196.8983307,194.5901031,193.5653076,196.3216858,359.1408386,367.4898071,357.5505981,374.6149597,356.4398193,374.9888,126.9622421,156.7238617,127.2303772,133.2512665,126.3850403,145.5270691,2070.665527,636.1119995,979.5579834,731.5134888,1069.53894,754.5924072,256.7404785,77.90188599,126.4085846,98.84817505,139.7980042,77.94699097,213.2673187,68.82445526,144.4218445,105.6922226,172.800415,90.20879364,30.93772888,206.3204193,206.9225311,210.2233887,199.0999451,206.0384369,205.2348633,434.5751953,425.5558472,432.1775513,426.2481689,437.553009,419.7044983,77.00379944,78.94060516,78.30140686,78.23439789,78.04732513,78.77415466,12.8708334,479,26.56378555,31.10000038,10.75833321,-1.449999928,-1.449999928,25.78333282,25.78333282,-9.399999619,136.2370605,15,4,15,360,165,360,40.5,1106.214844
BYGL,2838.983643,1024.134399,0.100965045,80.01644897,43994.39453,273.983551,201,237,20244.07813,31214.71094,23,971.1509399,2904.983154,2.469499588,3031.983154,-146.3977966,15944.77734,16516.66602,25650.46289,-797.7444458,8792.478516,8581.381836,17682.78125,101.9667587,2680,2699.983643,2973.983154,2973.983154,2619,-1414.140869,1619.844727,1526.950439,7946.933105,1903.251953,902.03302,52.98348618,13,43.98348618,604.0838013,254.0336761,604.0838013,79,28.98348618,412.9832764,11423.93555,4759,1148,1375,167,815,776,293523,356,41977,28719,2384,975,1465,20828,8576,412,612,175190,11.47646713,23.5026722,31.82535362,8.439359665,-1.538341522,-0.854308724,24.11584854,24.11584854,-4.082732201,35.90808487,1027.471558,11.92053509,12.79837799,25.41173553,3.649230242,0.951408982,1.552134633,21.97810555,21.97810555,-3.101490021,28.51322556,872.7302856,139.187088,151.6662445,144.2394714,148.163681,140.5483246,150.8660736,185.6173706,160.9859467,158.0171967,151.7349854,156.6037445,149.5180817,127.6001587,190.1701965,162.7450867,169.5399323,139.6451874,190.1062927,154.3663635,181.0077667,169.3126221,173.0234985,165.1485596,169.909317,2807.049805,520.8126221,977.7789307,643.9680786,1298.191162,462.8389587,154.6777649,53.57170105,90.75525665,67.15063477,129.4391632,40.83718872,196.372757,82.24331665,140.0960083,79.54161072,151.9811707,54.50483704,28.18215752,390.9745483,381.9674072,371.6764832,372.510437,384.1409607,389.2241516,481.37677,428.0411377,465.6798096,457.8184509,476.2278748,420.6035156,80.73022461,82.65602875,80.93582916,81.90561676,80.83953857,82.65602875,9.983333588,68,27.54268646,30.5,12.36666679,-6,-2.583333254,23.38333321,23.38333321,-14.39999962,86.36602783,4,1,4,42,17,42,44.90000153,1202.811768
BYSC,2844.983154,2010.496582,0.178802103,133.0334473,43256.58984,298.9500122,205,250.9665527,18178.99805,29571.29492,44,1957.513306,2900.983154,3.049831867,3024.966797,-254.1170197,15685.02148,14673.13477,23793.41992,-747.0998535,9111.380859,7806.682617,17735.53125,119,2716.983154,2727.983154,2960.983154,2960.983154,2634.949951,-1209.999023,2648.187012,2342.449707,10674.10449,3622.144287,877.9834595,52.98327255,11,50.01652145,1119.698242,417.8826904,1119.698242,62.01672745,20.98327255,390.0168152,9443.133789,4842,1048,665,71,1957,3104,1470473,1583,97372,28297,990,747,2741,24390,9076,864,604,842237,11.38570786,28.35795593,31.36960602,10.07416439,-0.259984255,-0.259984255,22.91891861,20.71159744,-4.155397415,35.52500534,918.3644409,10.82051373,15.20115662,25.10180473,4.174724102,1.261634946,1.261634946,20.81083488,19.52878189,-2.361395121,27.46319962,780.5880127,132.2157898,145.6125183,136.8312225,139.5723267,134.9408569,143.3754883,170.6911011,138.9567261,145.3230743,140.2055664,148.048645,137.7871094,159.9570313,220.2643738,192.4268494,190.4298859,162.8653564,202.8810425,161.7581787,195.2289429,163.8869476,175.7728119,160.6194916,184.255249,2476.450195,595.5527344,1055.10144,829.862915,2132.373291,616.3615112,245.5268707,65.42922211,104.9736099,77.77516174,124.6137009,56.94252396,211.576004,47.58578873,136.2000122,76.83264923,151.5802612,66.80902863,29.19647026,281.6105042,251.7796478,260.013916,256.7200012,278.8480225,250.2290039,558.3984375,527.9223022,547.5628052,552.9312744,558.3240967,546.802002,81.98989105,83.11236572,82.42589569,82.4465332,81.98989105,83.0223465,9.016666412,250,30.88235283,28.10000038,12.60000038,-4.383333206,-4.383333206,20.79999924,19.46666718,-12.69999981,97.19568634,3,0,3,144,65,152,40.79999924,1021.412415
CH,2899,11461.25,1.113961577,25.01644325,61219.49219,365,254,317,29285.98438,43433.05078,365,11461.25,2899,2.319663763,3046,33.033535,18892.02734,14646.03418,18841.06641,-241.899765,11660.47949,8605.100586,14265.0166,73.98319244,2782,2801,3007,3007,2728,-692.9163208,5252.714844,3360.033691,9232.966797,15593.2334,449.9996338,1555.08374,370.0335388,1546.10022,4829.032715,1778.049683,4829.032715,0,65535,318,8731.197266,5610,888,1843,99,842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.80416679,1129,21.06256866,31,6.508333683,4.433333397,4.433333397,26.61666679,26.61666679,0.100000001,53.90076828,96,23,96,485,184,485,30.89999962,904.2537231
CM,2893,12347.78125,-99999,0,59118.96484,365,255.9667511,365,25974.00391,40868.96484,365,12347.78125,2893,0.789831877,3006,511.3900757,16113.48535,11537,19563.30273,-25.24687004,10251.2002,7061.899414,14646.18555,18,2797.999756,2799,2989,2982,2775,-370.6891479,5308.161133,3673.066406,8837.882813,16387.83203,412.9999084,2345.882568,444.9832764,1762.91626,4374.96582,1833.016479,5010.94873,0,65535,231,7537.835938,5843,1198,699,39,1331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMEN,2688,3792.046143,0.656511664,171.9671021,6411.958984,138,0,71.00028229,2.15E+09,1056.002197,108,2860.980225,2786,3.929835558,2852.016846,-185.0169373,12169.06738,4385.118652,26347.55078,-390.0338745,6947.368652,2455.034668,19928.45117,138,2587,2593,2791,2791,2502,-726.0170898,2101.284424,991.9665527,12277.55469,4138,1080.950073,90,26,79,2517.963867,977.9655762,2517.963867,244,222.032959,350.0167236,8016.249512,5472,975,1041,115,1509,807,4856,3627,3884,14896,8155,3726,203,8903,5587,60,2742,3703,-2.088814974,34.98384857,14.85064697,10.69791603,-8.910935402,-7.436607838,4.514050484,4.514050484,-15.7289381,30.57958412,533.8929443,6.232496262,39.36264038,16.37180901,11.07821751,-0.131956488,0.347351193,10.72735119,10.36882973,-11.77218056,28.14398956,450.9632263,122.8712158,144.1973114,131.9017029,138.9489746,128.3950806,143.4662628,194.3569641,171.8681183,180.573822,176.4432068,176.0143738,164.6199341,165.9197998,176.080246,161.2677002,175.885498,158.3784485,178.8220673,212.4713135,329.4724426,225.013382,278.8063965,203.4295197,325.0861206,2140.074707,651.7824097,1271.864624,987.710083,1534.091675,717.6678467,152.4556427,81.43919373,116.54039,90.07461548,161.3352966,83.0190506,168.2620544,77.75819397,114.2823792,113.8422928,138.5802155,67.65162659,21.88905334,466.4064636,443.9027405,460.4273071,450.287323,461.9610901,446.6321716,367.4173889,379.863678,378.3372498,373.7787781,379.8902893,374.4833374,76.1055603,74.91155243,77.17861938,75.68528748,76.97142792,74.99195099,-4.574999809,245,37.82924652,12.60000038,13.88333321,-15.1833334,-14.10000038,5.650000095,5.650000095,-24.10000038,111.2360458,4,1,3,164,63,164,36.70000076,854.0239258
CYH,2850,4417.633789,0.384569466,136,45021.92578,297,206,247,20131.46094,31460.61133,104,4289.583984,2898,3.159999371,3036,-229.8685608,14970.96875,14579.11816,22409.15039,-522.8527832,8801.294922,7996.016602,16249.13379,124,2717,2717,2974,2957,2643,-1062.787354,2651.669922,2602.883057,9200.983398,7388.467285,897.9667969,128.0495758,35.01652527,128.0495758,2536.767334,985.8835449,2561.734131,67.03325653,51.99979782,393,9963.415039,4762,1168,512,50,1793,1479,742232,1910,59664,29094,2302,859,2144,21395,8716,670,566,447710,12.21068382,22.06739807,31.16962242,7.332337856,-0.350011617,-0.350011617,24.35347557,21.96922112,-2.057393074,33.22701645,980.159729,11.53242397,10.92141151,25.8923378,2.934156895,1.703992963,1.703992963,22.38591766,20.67079353,-0.973758101,26.8660965,845.1082764,133.9612885,150.1736603,137.2354584,147.522049,133.1312103,147.9455261,194.874115,154.5286865,182.0688171,171.2557983,185.7884827,163.4653473,198.9658966,205.8404694,220.0412445,229.4311066,235.2438812,218.2401428,78.44955444,98.43515778,82.37503815,82.18214417,76.28108978,87.1822052,1253.82312,408.2528381,769.7355347,553.8734741,815.0980835,456.4397888,81.94937134,25.39267921,62.39403152,39.48923874,70.72119904,30.40854073,176.6322021,34.10081863,133.7357635,87.37385559,140.6429901,51.70552444,28.74461555,383.0346985,386.3028564,370.647644,364.1819763,369.0954285,364.749939,418.0076294,407.928009,409.3461609,406.2718201,395.6521301,416.8012085,78.88922119,82,79.84410095,81,79.72415924,81.82339478,10.34583378,436,33.15304565,29.29999924,13.79166698,-3.300000191,-3.300000191,22.46666718,20.79999924,-12.30000019,105.2903976,12,3,12,272,113,280,41.59999847,1047.302734
DGHHQ,2815.966309,2566.796875,0.251543909,165.0504608,32339.23047,295.9660645,176.9328156,234.9663391,8796.986328,19093.51563,58.9667511,2530.796875,2870.966553,3.829500198,2957.999756,-307.2376099,14526.3877,9152.52832,24848.91602,-710.1359253,9168.241211,6005.59082,17955.20508,126.9832764,2717.966309,2717.966309,2900.966309,2900.966309,2626.966553,-1112.716553,3175.359375,2670.143555,9791.328125,4545.02832,965.9666748,36,10,36,1503.265015,545.7161865,1503.265015,62.0334549,15,331.0332336,7131.219238,4255,906,1244,192,1760,4616,1122636,3748,80828,29537,1715,859,3409,24200,9048,997,539,898155,8.758491516,31.78242874,25.892519,9.79876709,0.022853883,0.022853883,17.78514862,17.78514862,-4.938250542,30.83076859,707.9877319,8.477612495,20.49417114,20.16074371,4.874764442,2.066484451,2.637598038,15.25647449,15.25647449,-3.625356913,23.78610039,539.6641235,128.1414948,144.0549164,132.7796021,137.6649323,128.2119904,141.4385986,141.755127,104.8078918,110.5327682,110.7919769,113.1707687,105.0697479,184.9602356,209.0209503,205.7517242,214.6735535,194.8347931,199.9875793,165.7638397,203.6831512,155.9464111,172.7683716,149.5390472,183.1215057,2321.822998,619.7653809,1067.170288,918.8403931,1351.157593,699.9038696,259.76651,50.85404205,109.7483673,86.44437408,123.1397247,51.97686386,251.5087433,52.77630615,155.3454285,93.6428299,158.0416107,71.96624756,34.11385345,347.5042419,330.1465759,332.7453918,323.4625244,336.0625916,331.9263306,467.6503296,460.503418,461.3277893,461.8458252,469.0977173,467.9837952,80.30130005,83.04636383,81.49475098,82.7375946,81.49475098,83.1547699,6.616666794,397,36.24472427,24.5,14.3166666,-5.050000191,-5.050000191,16.98333359,16.98333359,-15,97.79428864,4,1,4,234,89,234,39.5,896.9122314
DLQ,2765.950195,4945.746094,0.592065215,215.7833252,17658.40039,233.9498901,90.9006958,166.9166565,1077.533081,7639.944824,191.9320374,4821.762207,2810.967041,4.12950182,2886.950195,-46.30406952,14973.41992,5590.705566,28860.8457,-538.0457764,9391.358398,3837.787842,22448.82617,124,2685.916992,2685.916992,2843.950195,2843.950195,2586.900391,-1104.716797,3328.931885,2145.901123,15371.00879,8140.237305,1225.915405,62,20,62,3603.782227,1379.459473,3603.782227,129.0498352,52.00007248,300.0498352,6288.370605,5016,1078,1910,244,1798,1797,983262,2782,75122,29407,1853,802,2630,24104,9042,788,552,680297,4.60255146,28.9979744,18.71731949,6.510379791,-1.371724606,-0.517973542,11.71963596,11.71963596,-3.733833313,22.4511528,531.1370239,7.263486862,12.58330631,13.70464516,2.007665396,0.252601147,0.252601147,13.42676735,13.41284084,-2.250346184,15.95499134,569.0185547,131.2489014,148.3757019,142.1794434,147.2848206,134.5526581,149.2741089,136.1145935,95.60037994,112.4584732,96.9732666,110.6351395,98.54927063,220.3631134,272.681488,267.5046997,271.7729187,238.4201965,280.2167053,124.7713852,208.5281677,105.7504044,138.6317902,101.3690033,194.1390991,3466.17334,842.1586304,1842.904663,1326.181519,2541.135742,974.4395142,246.6111298,56.49054718,135.2528229,72.1396637,158.2832489,57.95986557,320.1867371,64.05527496,198.4832458,109.1268692,292.0244446,70.72000122,50.21208191,373.9611206,399.6336975,352.6117249,355.4936218,366.7376709,367.3566895,405.8006592,327.864502,379.8015442,372.7717285,394.6483459,352.4690857,71.36695862,75.35392761,71.55396271,74.70475006,71.54342651,75.24633026,4.9375,414,44.57186508,19.20000076,14.57499981,-3.683333397,-3.683333397,12.61666679,12.61666679,-13.5,128.6864624,3,1,3,305,117,305,32.70000076,661.7027588
DTH,2909.999756,15963.23828,1.493306041,0,65313.92969,365,270,365,31645.86719,47063.92969,365,15963.23828,2910,2.339999914,3052.983154,917.1621704,19311.37109,15772.97852,18793.05078,184.4789276,11128.97949,8910.728516,13402.61816,71.98319244,2799,2817.966797,3013.983154,2955.999756,2747.983154,-557.6369019,5192.924805,3622.729736,8753.036133,19199.54883,441,2175.286377,449.0506897,2121.269531,5571.907715,2260.33667,6330.841797,0,65535,305,8343.631836,6716,980,722,62,1246,,,,,,,,,,,,,,18.01669121,26.69257736,33.97859573,8.659012794,6.338392735,8.31562233,28.70518112,23.00527954,1.538817286,32.43977737,867.3978882,17.06134224,21.3423481,31.21437263,5.84276247,7.135844707,9.135991096,26.13017654,20.73190308,3.837992668,27.37638092,755.3790894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.26250076,1279,21.35416603,32.20000076,6.491666794,6.283333302,6.283333302,27.73333359,21.63333321,1.799999952,50.34436417,159,44,159,426,212,558,30.40000153,871.9599609
FY,2755,7333.12207,1.07857275,49,29446.0332,211,148,183,11246,19584.9668,186,6051.473633,2885,1.789832592,2987,488.9971924,13513.86816,9818.620117,20197.23438,-72.53430176,6539.700684,4423.233887,13081.56934,93,2546,2546,2934,2934,2467,-574.6674805,556.7008667,366.0333862,5023.652832,7861,837.0167236,388.8661499,108.9664459,388.8661499,4090.960205,1725.580688,4090.960205,176,501.8494263,520,15047.13281,4917,1148,1203,149,2045,1201,581985,2189,58659,28629,1971,1006,1998,23960,8962,645,623,361236,4.365161896,12.51816273,23.51557732,4.619711399,-10.36739731,-10.36739731,18.77475929,17.20889282,-13.38849354,36.90407181,1138.058228,4.649346352,10.47241306,22.03066444,3.882626295,-8.508131981,-8.508131981,17.79697609,16.43993759,-15.044137,37.0748024,1005.66864,115.9859543,143.4359283,128.4246368,134.2145691,121.0999527,140.6313629,287.1899109,218.2762604,244.302124,242.4324799,251.568985,239.0844574,271.8895874,287.9449463,274.4115295,277.0478516,258.5206909,269.0538635,102.0317612,166.1902618,108.4802628,134.5187073,104.704277,157.986084,8592.02832,3849.798584,4130.830078,3560.77832,4794.946289,3294.255615,719.2602539,683.7227173,533.3152466,472.5936584,535.6119385,423.244751,472.7021179,71.73051453,229.517746,143.7673187,312.1591492,83.48397064,65.35150909,281.7523193,296.6345825,280.9354248,282.4055481,285.4487305,295.2897644,446.3419495,415.4401245,444.5622253,440.5186462,455.8269348,435.7411499,62.18405914,64.68331909,62.5184021,63.30594254,62.33160019,63.67037964,1.620833397,684,19.87058067,26.39999962,10.49166679,-19.01666641,-19.01666641,19.5,17.93333435,-26.39999962,84.21524048,34,9,34,371,149,378,52.79999924,1560.750732
GEMH,2752.949463,1753.489258,0.235372216,133.9994354,16934.10742,211.9162903,84.89969635,157.9160004,1445.524414,7654.512207,51.03331757,1529.421265,2817.949951,3.53949666,2892.966309,-240.8920441,13330.62402,7211.257324,27839.44336,-671.6748657,8124.200684,4209.425293,20261.8125,113.9997177,2652.899414,2662.899414,2846.966309,2846.966309,2571.91626,-1105.059448,2657.219971,1565.927734,11704.7793,3184.826904,891.9990845,95.03387451,26.01679802,83.01735687,1044.286255,403.1177979,1044.286255,149.0503998,87.06747437,321.0500488,7616.37793,4336,1067,954,136,1499,1998,12748,2075,7219,18098,6943,4315,353,10976,5755,92,2386,8177,2.988503218,36.84782791,23.50502205,12.72425747,-4.455336571,-3.794837713,11.30178928,11.30178928,-11.02688503,34.53190613,631.1009521,12.11033535,30.51076889,22.69403267,9.170287132,1.858438253,1.858438253,19.97684479,19.97684479,-7.361869812,30.05590248,725.7452393,130.7620697,146.8884735,136.3416595,141.5510406,131.944458,146.5812683,181.3521576,163.3429871,162.8823547,157.2251892,159.2084961,156.2139587,116.2370605,107.9562607,92.85056305,105.2948761,100.665184,105.1166077,268.4814453,282.7796326,270.2753601,274.5958252,279.6587219,280.2652588,1210.289551,670.81427,729.6518555,596.0534058,889.6116333,687.6381226,83.85604858,47.54354095,77.84843445,49.14847565,84.52474213,48.4124527,168.1353149,83.99674988,120.0251541,74.15414429,140.3642883,49.00335312,23.95398331,558.3215942,647.2921753,627.6744385,629.3997803,601.3793945,625.4841309,325.8023376,244.7752991,279.4096985,265.3712463,297.9089966,269.0532532,81.60388184,80.24308777,82.09712982,81.16225433,82.09712982,81.18983459,2.491666555,81,35.61928558,21.60000038,14.28333282,-9.633333206,-8.933333397,13.88333321,13.88333321,-18.5,95.63355255,3,1,3,54,21,54,40.09999847,960.2954712
